,Authors,Title,Year,DOI,Abstract,Author Keywords,Index Keywords,ML_ET_Related,ET_Prediction,Measurement Methods,Features Used,"('Methods', 'eddy covariance')","('Methods', 'weather station')","('Methods', 'remote sensing')","('Methods', 'load cells')","('Methods', 'sap flow')","('Methods', 'field measurement')","('Methods', 'phenotyping')","('Methods', 'soil water balance')","('Methods', 'empirical models')","('Methods', 'stomatal conductance')","('Methods', 'psychrometry')","('Features', 'climate & meteorology')","('Features', 'vegetation indices')","('Features', 'soil')","('Features', 'plant physiology')"
0,Karbasi M.; Ali M.; Randhawa G.S.; Jamei M.; Malik A.; Shah S.H.H.; Bos M.; Zaman Q.; Farooque A.A.,Innovative multi-temporal evapotranspiration forecasting using empirical fourier decomposition and bidirectional long short-term memory,2024,10.1016/j.atech.2024.100619,"Reference evapotranspiration (ETo) is an essential environmental variable that is intimately significant to agriculture. Managing water and crop planning relies heavily on precise forecasting of ETo. This research used a novel time series decomposition technique, Empirical Fourier Decomposition (EFD), to forecast ETo accurately. Four machine learning techniques were used to forecast ETo using decomposed lagged ETo values. The input data source was from Prince Edward Island (PEI) weather stations (Harrington and St Peters Stations). First, autocorrelation analysis was performed to determine effective lags. Then, ETo data were decomposed using EFD, and lagged data was created based on EFD results. The Kbest feature selection algorithm was used to choose effective inputs, reducing the training time. The accuracy of models was evaluated using different statistical metrics such as correlation coefficient (R) and root mean square error (RMSE). The results showed that using EFD decomposition can significantly improve forecast accuracy. The comparison between different machine learning models showed that the deep learning-based model (Bidirectional LSTM (Long Short Term Memory)) (R = 0.956, RMSE= 0.451 mm/day for Harrington station and R = 0.956, RMSE= 0.451 mm/day for St Peters station) performed better than the Generalized Regression Neural Network (GRNN), K-nearest neighbor (KNN), and Random Forest (RF) models. Finally, the best model (EFD-Bidirectional LSTM) was used to forecast multitemporal ETo at both stations. Results showed that the developed model can forecast ETo for up to 28 days with reasonable accuracy. However, the accuracy of multi-step ahead forecasting decreases when evapotranspiration values are high, as the models tend to underestimate these values. The findings of this study can assist in accurately calculating crop water requirements and help farmers optimize their irrigation schedules. © 2024 The Author(s)",Climate adaptation; Deep learning; Empirical fourier decomposition; Evapotranspiration; Feature selection; Machine learning,,Yes,Yes,weather station,climate & meteorology,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
4,Mohomi T.; Mbatha N.B.; Boshoff D.S.; Mbokodo I.L.; Ndarana T.; Bopape M.-J.M.; Chikoore H.,Attributing impacts of LULCC on the boundary layer climate of South Africa’s eastern escarpment,2024,10.1007/s12040-024-02388-y,"Land surface characteristics may influence the planetary boundary layer atmosphere and climate through exchanges of moisture, energy, and momentum near the surface. We attributed the impact of multitemporal landsat-derived land use/land cover change (LULCC) on temperature and precipitation variability in eastern South Africa using reanalysis data and satellite-derived estimates from 1979 to 2020. Landsat images were classified into different land cover classes using a machine learning random forest pixel-based supervised algorithm within the cloud-based Google Earth Engine. Time series analysis was employed to analyze cycles and trends in LULCC and hydrometeorological variables, whilst the variable importance model determined the most sensitive variable. The impacts of LULCC on the boundary layer climate were attributed via multiple linear regression. An uninterrupted rapid expansion of urban areas was observed, resulting in the transformation of grasslands, water bodies, forests, and croplands. Statistically significant changes in moisture and energy fluxes, and hydrometeorological variables were observed across the study period. Latent heat flux (LHF), as well as rainfall decreased, while maximum temperature, sensible heat, and potential evapotranspiration (PET) increased significantly. We found that LULCC is significantly impacting the boundary layer climate, with urban and bare land, grasslands, forests, and croplands influencing temperature positively while negatively influencing rainfall. Rainfall was most sensitive to changes in LHF, whilst the key driver of temperature variability was PET. Our results reinforce the significance of LULCC and associated feedbacks to understanding boundary layer processes, climate variability, and change. © Indian Academy of Sciences 2024.",climate variability and change; LULCC; planetary boundary layer; random forest; surface moisture and energy fluxes; variable importance,South Africa; algorithm; bare soil; boundary layer; climate change; energy flux; escarpment; evapotranspiration; forest; grassland; land cover; land use change; Landsat; latent heat flux; machine learning; moisture; multiple regression; precipitation (climatology); rainfall; temperature; time series analysis; urban area,Yes,Yes,"weather station, remote sensing","climate & meteorology, vegetation indices",0,1,1,0,0,0,0,0,0,0,0,1,1,0,0
6,Sahoo S.; Singha C.; Govind A.,Advanced prediction of rice yield gaps under climate uncertainty using machine learning techniques in Eastern India,2024,10.1016/j.jafr.2024.101424,"The current study focuses on applying machine learning approaches to forecast future Kharif rice yield gaps in eastern India while accounting for climate change implications. To achieve the United Nations Sustainable Development Goals (SDGs), food security must be prioritized. Rice yield has been predicted using Cubist, GBM, MARS, RF, SVM, and XGB machine learning methods, considering six factors: elevation, soil moisture, precipitation, temperature, soil temperature, and actual evapotranspiration. Climatic change scenarios were generated using the latest climatic Coupled Model Intercomparison Project Phase 6 (CMIP6 MIROC6) Shared Socioeconomic Pathways (SSP) 2–4.5 and SSP5-8.5 datasets between 1990 and 2030. Finally, machine learning algorithms were used to identify rice yield gaps to achieve sustainable agricultural intensification. The rice yield validation was completed with 1889 field-based farmer observation records. The results suggest that Murshidabad and Purba Bardhaman districts had very high rice yields (5.60–3.45 t/ha) when using the Cubist model compared to another model. The findings also reveal a poor rice-yielding zone (1.44–0.39 t/ha) in the western region (Purulia) and a northwestern region (half of the west of Birbhum). The Cubist and RF models' maximum and minimum R2 values were 0.73 and 0.72, respectively. The R2 values were also negligible for the XGB, GBM, SVM, and MARS, machine learning models. Projections for rice production in 2030 indicate that the northern and north-eastern regions (Murshidabad and Purba Bardhaman) as well as the southeastern areas (Jhargram and Paschim Medinipur) have the highest yields, categorized as extremely very high (5.56–3.49 t/ha) and high (3.49–2.49 t/ha). A significant rice yield gap (50-40 %) was found in the center and south-east areas (Bankura, Jhargram, and Paschim Medinipur), the northern region (Murshidabad and Birbhum), and the western region (Purulia). In 2030, the north-western region (Birbhum), as well as the middle and south-eastern regions (Bankura, Jhargram, and Paschim Medinipur districts), had the highest proportion of high (50%–40 %) and very high (60%–50 %) rice yield gap. Our findings can contribute to a new viewpoint on agricultural planning and management for sustainable growth in the face of changing climate circumstances. © 2024 The Authors",Food security; Machine learning; Remote sensing; Rice yield gap,,Yes,Yes,Not Specified,"climate & meteorology, vegetation indices, soil",0,0,0,0,0,0,0,0,0,0,0,1,1,1,0
10,Han W.; Zheng J.; Guan J.; Liu Y.; Liu L.; Han C.; Li J.; Li C.; Tian R.; Mao X.,A greater negative impact of future climate change on vegetation in Central Asia: Evidence from trajectory/pattern analysis,2024,10.1016/j.envres.2024.119898,"In the context of global warming, vegetation changes exhibit various patterns, yet previous studies have focused primarily on monotonic changes, often overlooking the complexity and diversity of multiple change processes. Therefore, it is crucial to further explore vegetation dynamics and diverse change trajectories in this region under future climate scenarios to obtain a more comprehensive understanding of local ecosystem evolution. In this study, we established an integrated machine learning prediction framework and a vegetation change trajectory recognition framework to predict the dynamics of vegetation in Central Asia under future climate change scenarios and identify its change trajectories, thus revealing the potential impacts of future climate change on vegetation in the region. The findings suggest that various future climate scenarios will negatively affect most vegetation in Central Asia, with vegetation change intensity increasing with increasing emission trajectories. Analyses of different time scales and trend variations consistently revealed more pronounced downward trends. Vegetation change trajectory analysis revealed that most vegetation has undergone nonlinear and dramatic changes, with negative changes outnumbering positive changes and curve changes outnumbering abrupt changes. Under the highest emission scenario (SSP5-8.5), the abrupt vegetation changes and curve changes are 1.7 times and 1.3 times greater, respectively, than those under the SSP1-2.6 scenario. When transitioning from lower emission pathways (SSP1-2.6, SSP2-4.5) to higher emission pathways (SSP3-7.0, SSP5-8.5), the vegetation change trajectories shift from neutral and negative curve changes to abrupt negative changes. Across climate scenarios, the key climate factors influencing vegetation changes are mostly evapotranspiration and soil moisture, with temperature and relative humidity exerting relatively minor effects. Our study reveals the negative response of vegetation in Central Asia to climate change from the perspective of vegetation dynamics and change trajectories, providing a scientific basis for the development of effective ecological protection and climate adaptation strategies. © 2024 Elsevier Inc.",Central asia; Change trajectory; Climate change; Machine learning; Vegetation estimation,Asia; Climate Change; Ecosystem; Machine Learning; Plants; Central Asia; Abiotic; Anthropogenic; Central Asia; Change trajectory; Future climate; Future climate scenarios; Machine-learning; Pattern analysis; Trajectory pattern; Vegetation change; Vegetation dynamics; Vegetation estimation; climate change; climate effect; machine learning; trajectory; vegetation dynamics; article; central Asia; climate change; controlled study; evapotranspiration; greenhouse effect; machine learning; prediction; soil moisture; temperature; vegetation; vegetation dynamics; Asia; ecosystem; machine learning; plant; Adversarial machine learning,Yes,Yes,Not Specified,"climate & meteorology, vegetation indices, soil",0,0,0,0,0,0,0,0,0,0,0,1,1,1,0
13,Zhang M.; Han W.; Li C.; Zhang L.; Peng M.; Wang T.; Chen X.,Daily and seasonal variations of soil respiration from maize field under different water treatments in North China,2024,10.1002/ecs2.4985,"To further evaluate the effect of water stress on soil respiration (RS), reveal the influencing factors of daily and seasonal RS, and systematically evaluate and compare the sensibility of different machine learning algorithms (multiple nonlinear regression [MNR], support vector machine regression [SVR], backpropagation artificial neural network [BPNN]) to estimate RS from a maize field under water stress condition, the field experiments were conducted within a maize field in Inner Mongolia, China, during the entire 2019 growing season. Various levels of deficit irrigation were conducted in the vegetative, reproductive, and mature stages. Our research indicated that soil CO2 fluxes from 100% evapotranspiration treatment (Tr1) were significantly greater than various deficit irrigation treatments (Tr2, Tr3, Tr4) during each growth stage of summer maize. The cumulative soil CO2 fluxes of Tr2, Tr3, and Tr4 decreased 24.8%, 30.3%, and 43.7% compared with Tr1, respectively. We determined that the drivers affecting the daily RS were soil temperature at 5 cm depth (TS,5) and soil surface temperature (TSF), followed by water-filled porosity (WFPS) at 5 cm depth, but no significant correlations were observed at 25 cm depths. TS,5 and TSF also performed similar correlation with seasonal RS with R greater than 0.753 among all water treatments, followed by chlorophyll content with R greater than 0.726. During the whole growing season, the BPNN model exhibited the best predicting result, and could explain the 60%–80% and 87.8% of the variations of RS at the daily and seasonal scales, with root mean square error of 48.7–100.9 mg m−2 h−1 and 91.5 mg m−2 h−1, respectively. The SVR and MNR models could estimate the 47.9%–57% and 39.9%–52.1% of the daily RS and 81.4% and 78.6% of the seasonal RS, respectively. Overall, our study indicated the machine learning algorithms could be successfully applied to estimate RS at daily and seasonal scales from a maize field under water stress condition. © 2024 The Author(s). Ecosphere published by Wiley Periodicals LLC on behalf of The Ecological Society of America.",correlation analysis; machine learning algorithms; soil carbon emission; summer maize; water stress,,Yes,Yes,Not Specified,"climate & meteorology, vegetation indices, soil",0,0,0,0,0,0,0,0,0,0,0,1,1,1,0
16,Abu Salem F.K.; Awad S.; Hamdar Y.; Kharroubi S.; Jaafar H.,Utility-based regression and meta-learning techniques for modeling actual ET: Comparison to (METRIC-EEFLUX) model,2024,10.1016/j.aiia.2024.11.001,"Estimating actual evapotranspiration (ETₐ) is crucial for water resource management, yet existing methods face limitations. Traditional approaches, including eddy covariance and remote sensing-based energy balance methods, often struggle with high costs, limited spatial and temporal coverage, and reduced predictive accuracy, particularly for classical empirical models. While machine learning has emerged as a promising alternative, it still presents challenges, notably in underestimating ETₐ during periods of high heat. We attribute this to insufficient learning on the rare but highly relevant ETₐ values of interest, or the not-so-big climatic datasets available for use. In this manuscript, we demonstrate how few-shot, meta-learning models (MAML) that are specifically designed for enhanced generalizability on not-so-big datasets can outperform basic machine learning models in upscaling ETₐ from two major in-situ towers, the Ameriflux and Euroflux. Using limited remotely sensed land surface data from the METRIC-EEFlux and limited climatic variables, we demonstrate that the chosen models can attain quantifiable utility within the utility-based-regression paradigm towards impactful practical considerations. Our initial explorations reveal that EEflux ETₐ deviates significantly from in-situ observations measured through the Ameriflux and EEflux towers (R2=39%). Instead, MAML shows best performance in approximating ETₐ than basic machine learning algorithms and EEFlux (R2=71% on entire testing dataset, R2=0.88 on the Csa climate, R2=0.79 on the Cfa climate, and R2=0.78 on the CSH vegetation class), and continues to improve without overfitting even when exposed to a relatively small training dataset. Its high F2 score (96 %) indicates that MAML has very high precision and recall for rare cases, which is significant for irrigation. Of independent interest, this study confirms that limited remotely sensed EEflux products contribute significantly to knowledge about ground truth ETₐ and can thus be of valuable use in settings where access to good quality and high-volume data is compromised. © 2024 The Authors",Artificial intelligence; EEFlux; Evapotranspiration; Machine learning,Adversarial machine learning; Evapotranspiration; Resource allocation; Water management; Zero-shot learning; Actual evapotranspiration; AmeriFlux; Eddy covariance; Eeflux; Machine-learning; Meta-learning models; Meta-learning techniques; Traditional approaches; Traditional approachs; Water resources management; Contrastive Learning,Yes,Yes,"eddy covariance, remote sensing","climate & meteorology, vegetation indices",1,0,1,0,0,0,0,0,0,0,0,1,1,0,0
21,He L.; Shi L.; Song W.; Shen J.; Wang L.; Hu X.; Zha Y.,Synergizing Intuitive Physics and Big Data in Deep Learning: Can We Obtain Process Insights While Maintaining State-Of-The-Art Hydrological Prediction Capability?,2024,10.1029/2024WR037582,"Artificial intelligence (AI) methods have created insurmountable performance in prediction tasks for geoscientific problems yet are unable to derive process insights and answer specific scientific questions. The geoscience community faces a dilemma of reconciling process comprehension with high predictive accuracy. Here we introduce a deep process learning (DPL) approach empowering neural networks to deduce intrinsic processes from observable data, wherein the intuitive physics of geosystems is directly coupled within the deep learning (DL) architecture as structural prior. We aim to incorporate as raw common concepts as possible as macroscopic guidance: on the one hand, to reduce interference with DL's data adaptability. On the other hand, to allow the information flow of the model to converge along specific paths toward the target output, thus enabling the potential to gain process insights with limited supervision. Illustrating its application to precipitation-runoff modeling across the USA, DPL yields an ensemble median Nash-Sutcliffe efficiency of 0.758 and Kling-Gupta efficiency of 0.778 with robust transferability, compared to 0.762 and 0.751 for the state-of-the-art DL model. The good match between internal representations of DPL and independent data sets of snow water equivalent and evapotranspiration, along with its superior capability for catchment water budget closures, demonstrates proficient process mastery. The study also highlights beneficial synergies from large-scale data collaboration, promoting the organic unity of process understanding and predictive performance. This work shows a promising avenue for learning processes from big data and will benefit geoscientific domains that remain concerned with process clarity in the era of AI. © 2024. The Author(s).",big data; deep process learning; intuitive physics; process understanding; streamflow modeling,United States; Budget control; Catchments; Contrastive Learning; Deep learning; Spatio-temporal data; Stream flow; Artificial intelligence methods; Deep process learning; Hydrological prediction; Intuitive physic; Performance; Prediction capability; Process learning; Process understanding; State of the art; Streamflow models; algorithm; catchment; hydrological modeling; snow water equivalent; streamflow; water budget; Runoff,Yes,Yes,Not Specified,climate & meteorology,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
22,Addis A.; Gessesse A.A.,"Downscaling MODIS evapotranspiration into finer resolution using machine learning approach on a small scale, Ribb watershed, Ethiopia",2024,10.1007/s10661-024-13313-7,"By monitoring evapotranspiration (ET), the exchange of water and energy between the soil, plants, and the atmosphere can be controlled. Routine estimations of ET on a daily, monthly, and seasonal basis can give relevant information on small-scale agricultural practices, such as the Ribb watershed in Ethiopia. However, MODIS sensors have recently given high temporal resolution ET products across large areas, but their low spatial resolution limits its application on a local scale. The primary goal of the study was to downscale the MODIS ET (1 km) product to a finer spatial resolution at the watershed level. The model’s 12 predictor variables (NDVI, EVI, LAI, FVC, SAVI, NDMI, NDWI, Albedo, emissivity, LST, and DEM: slope and elevation) were produced using the random forest (RF) algorithm using Sentinel-2 (S-2) 20 m and Landsat-8 (L-8) 30 m. The RF regression model was used to assess the relationship between predicted variables and downscaled MODIS ET. The FAO-PM ET model, developed from meteorological stations, was validated by R2 and RMSE for three seasons (rainy, post-rainy, and dry) in 2022. The results were in good agreement with MODIS ET, with an RMSE of 0.22 for S-2 and 0.28 for L-8. In the FAO-PM ET model, the downscaled result showed greater spatial details and better agreement with gage station readings (R2≈0.88 and 0.82). Thus, considering the effectiveness and simplicity of machine learning techniques, our study demonstrated the potential for ET downscaling. Furthermore, the study suggests integrating spatiotemporal time series data to reach higher resolution. © The Author(s), under exclusive licence to Springer Nature Switzerland AG 2024.",Downscale; Evapotranspiration; Landsat-8; MODIS; Random forest; Ribb watershed; Sentinel-2,Agriculture; Environmental Monitoring; Ethiopia; Machine Learning; Plant Transpiration; Satellite Imagery; Seasons; Ethiopia; Decision trees; Deforestation; Fertilizers; Regression analysis; Down-scaling; Downscale; Ethiopia; LANDSAT; Landsat-8; MODIS; Random forests; Ribb watershed; Sentinel-2; Small scale; algorithm; downscaling; estimation method; evapotranspiration; Landsat thematic mapper; machine learning; MODIS; sensor; Sentinel; spatial resolution; watershed; agricultural parameters; algorithm; analysis; Article; atmosphere; data analysis; data source; enhance vegetation index; Ethiopia; evapotranspiration; geographical variation (species); human; image analysis; lake; machine learning; meteorology; moisture; mountain; operational landsat imagery; qualitative analysis; quantitative analysis; random forest; remote sensing; root mean squared error; shuttle radar topography mission; software; soil; spatial analysis; vapor pressure; vegetation; agriculture; environmental monitoring; Ethiopia; evapotranspiration; procedures; satellite imagery; season; Evapotranspiration,Yes,Yes,"weather station, remote sensing, empirical models","climate & meteorology, vegetation indices",0,1,1,0,0,0,0,0,1,0,0,1,1,0,0
23,Sandoval-García C.; Méndez-González J.; Andrés F.; Villavicencio-Gutiérrez E.E.; Paz-Pellat F.; Flores-López C.; Cornejo-Oviedo E.H.; Zermeño-González A.; Sosa-Díaz L.; García-Guzmán M.; Villarreal-Quintanilla J.Á.,Mapping the Future: Climate-Induced Changes in Aboveground Live-Biomass Carbon Density Across Mexico’s Coniferous Forests,2024,10.3390/f15112032,"Climate variations in temperature and precipitation significantly impact forest productivity. Precipitation influences the physiology and growth of species, while temperature regulates photosynthesis, respiration, and transpiration. This study developed bioclimatic models to assess how climate change will affect the carbon density of aboveground biomass (cdAGB) in Mexico’s coniferous forests for 2050 and 2070. We used cdAGB data from the National Forest and Soils Inventory (INFyS) of Mexico and 19 bioclimatic variables from WorldClim ver. 2.0. The best predictors of cdAGB were obtained using machine learning techniques with the “caret” library in R. The model was trained with 80% of the data and validated with the remaining 20% using Generalized Linear Models (GLMs). Current cdAGB prediction maps were generated using the best predictors. Future cdAGB was calculated with the average of three general circulation models (GCMs) of future climate projections from the Coupled Model Intercomparison Project Phase 5 (CMIP5), under four Representative Concentration Pathways (RCPs): 2.6, 4.5, 6.0, and 8.5 W/m2. The results indicate cdAGB losses in all climate scenarios, reaching up to 15 Mg C ha−1, and could occur under the RCP 8.5 scenario by 2070 in the central region of the country. Temperature-related variables are more important than precipitation variables. Bioclimatic variables can explain up to 20% of the total variance in cdAGB. The temperature in the study area is expected to increase by 2.66 °C by 2050 and 3.36 °C by 2070, while precipitation is expected to fluctuate by ±10% relative to the current values, which could geographically redistribute the cdAGB of the country’s coniferous forests. These findings underscore the need for forest management to focus not only on biodiversity conservation but also on the carbon storage capacity of these ecosystems. © 2024 by the authors.",aboveground biomass; bioclimatic models; climate change; coniferous forests; machine learning,Biomass; Carbon; Data; Forests; Models; Precipitation; Temperature; Variables; Mexico [North America]; Anthropogenic; Forest ecology; Aboveground biomass; Aboveground live biomass; Bioclimatic models; Bioclimatic variables; Carbon density; Climate variation; Coniferous forests; Future climate; Machine-learning; Me-xico; aboveground biomass; bioclimatology; biodiversity; carbon emission; climate change; climate effect; climate modeling; climate variation; CMIP; coniferous forest; machine learning; mapping; Biotic,Yes,Yes,Not Specified,"climate & meteorology, vegetation indices, plant physiology",0,0,0,0,0,0,0,0,0,0,0,1,1,0,1
24,Fang J.; Gentine P.,Exploring Optimal Complexity for Water Stress Representation in Terrestrial Carbon Models: A Hybrid-Machine Learning Model Approach,2024,10.1029/2024MS004308,"Terrestrial biosphere models offer a comprehensive view of the global carbon cycle by integrating ecological processes across scales, yet they introduce significant uncertainties in climate and biogeochemical projections due to diverse process representations and parameter variations. For instance, different soil water limitation functions lead to wide productivity ranges across models. To address this, we propose the Differentiable Land Model (DifferLand), a novel hybrid machine learning approach replacing unknown water limitation functions in models with neural networks (NNs) to learn from data. Using automatic differentiation, we calibrated the embedded NN and the physical model parameters against daily observations of evapotranspiration, gross primary productivity, ecosystem respiration, and leaf area index across 16 FLUXNET sites. We evaluated six model configurations where NNs simulate increasingly complex soil water and photosynthesis interactions against test data sets to find the optimal structure-performance tradeoff. Our findings show that a simple hybrid model with a univariate NN effectively captures site-level water and carbon fluxes on a monthly timescale. Across a global aridity gradient, the magnitude of water stress limitation varies, but its functional form consistently converges to a piecewise linear relationship with saturation at high water levels. While models incorporating more interactions between soil water and meteorological drivers better fit observations at finer time scales, they risk overfitting and equifinality issues. Our study demonstrates that hybrid models have great potential in learning unknown parameterizations and testing ecological hypotheses. Nevertheless, careful structure-performance tradeoffs are warranted in light of observational constraints to translate the retrieved relationships into robust process understanding. © 2024 The Author(s). Journal of Advances in Modeling Earth Systems published by Wiley Periodicals LLC on behalf of American Geophysical Union.",evapotranspiration; FLUXNET; hybrid-machine learning; model-data fusion; photosynthesis; water stress,Biotic; Piecewise linear techniques; Soil structure interactions; Soil testing; FluxNet; Hybrid machine learning; Model-data fusions; Neural-networks; Optimal complexity; Performance tradeoff; Soil water; Structure performance; Time-scales; Water stress; biosphere; carbon cycle; evapotranspiration; leaf area index; soil water; water stress; Evapotranspiration,Yes,Yes,weather station,"climate & meteorology, vegetation indices, plant physiology",0,1,0,0,0,0,0,0,0,0,0,1,1,0,1
