Greenhouse,Experiment ID,Plant ID(s),Keep,Treatment,Start Date,Treatment Start Date,End Date,Remove Dates,Remove Date 1,Remove Date 2,Crop Type,Crop Name,Unseen by User?,Daily Check,Info
Icore,4,516,Yes,Control,08/06/2018,,19/06/2018,No,,,Tomato,M82,No,Yes,
Icore,4,424,Yes,Control,08/06/2018,,19/06/2018,No,,,Tomato,M82,No,Yes,
Icore,4,494,Yes,Control,08/06/2018,,20/06/2018,No,,,Tomato,M82,No,Yes,
Icore,4,487,"Yes, some dates",Control,08/06/2018,,19/06/2018,"Specific dates (remove1, remove2)",12/06/2018,,Tomato,M82,No,Yes,
Icore,4,588,Yes,Control,08/06/2018,,17/06/2018,No,,,Tomato,M82,No,Yes,
Icore,13,1030,"Yes, some dates",Control,06/07/2018,,10/08/2018,Span from remove1 to remove2,29/07/2018,03/08/2018,Tomato,M82,No,Yes,
Icore,13,1028 992 1002 994 1011 990,Yes,Control,06/07/2018,,28/07/2018,No,,,Tomato,M82,No,Yes,
Lizzy,4,119 103 108,Yes,Control,08/04/2021,,23/04/2021,No,,,Tomato,M82,No,Yes,
Lizzy,4,115 90,Yes,Control,15/04/2021,,23/04/2021,No,,,Tomato,M82,No,Yes,
Lizzy,7,194 178 189 162 195,Yes,Control,19/05/2021,,05/06/2021,No,,,Tomato,M82,No,Yes,
Lizzy,7,174,Yes,Control,19/05/2021,,04/06/2021,No,,,Tomato,M82,No,Yes,
Lizzy,7,177,Yes,Control,19/05/2021,,03/06/2021,No,,,Tomato,M82,No,Yes,
Lizzy,10,249 267 253 260 242 262 263 257 239,Yes,Control,05/08/2021,,27/08/2021,No,,,Tomato,M82,No,Yes,
Lizzy,10,245 250,Yes,Control,05/08/2021,,24/08/2021,No,,,Tomato,M82,No,Yes,
Lizzy,10,256,Yes,Control,05/08/2021,,22/08/2021,No,,,Tomato,M82,No,Yes,
Lizzy,11,271 288 276 287 272 280 281,Yes,Control,03/10/2021,,08/11/2021,No,,,Tomato,M82,No,Yes,
Lizzy,11,284,Yes,Control,13/10/2021,,08/11/2021,No,,,Tomato,M82,No,Yes,
Lizzy,15,350 361 342 363,"Yes, some dates",Control,28/11/2021,,27/12/2021,Span from remove1 to remove2,04/12/2021,06/12/2021,Tomato,M82,No,Yes,
Lizzy,15,337 358 353 356 341,"Yes, some dates",Biotic stress,28/11/2021,,27/12/2021,Span from remove1 to remove2,04/12/2021,06/12/2021,Tomato,R13,No,Yes,VF
Icore,24,2460,Yes,Control,02/08/2018,,22/08/2018,No,,,Tomato,M82,No,Yes,
Icore,24,2466,"Yes, some dates",Control,02/08/2018,,29/08/2018,Span from remove1 to remove2,11/08/2018,21/08/2018,Tomato,M82,No,Yes,
Icore,44,3821,Yes,Control,13/09/2018,,19/10/2018,No,,,Tomato,M82,No,Yes,
Icore,83,5328 5312 5300 5348 5332 5345 5334,Yes,Control,01/01/2019,,03/02/2019,No,,,wheat,svevo,No,Yes,
Icore,83,5316,Yes,Control,15/01/2019,,03/02/2019,No,,,wheat,svevo,No,Yes,
Icore,83,5325 5331 5337 5311 5317 5309 5346 5333,Yes,Drought - Terminal,01/01/2019,26/01/2019,03/02/2019,No,,,wheat,svevo,No,Yes,
Icore,83,5347,Yes,Drought - With some irrigation (less than 100 gr),01/01/2019,26/01/2019,03/02/2019,No,,,wheat,svevo,No,Yes,25% irigation
Icore,83,5330,"Yes, some dates",Drought - With some irrigation (less than 100 gr),01/01/2019,26/01/2019,03/02/2019,Span from remove1 to remove2,10/01/2019,14/01/2019,wheat,svevo,No,Yes,25% irigation
